기간,구분,아동학대의심사례 응급아동학대의심사례,아동학대의심사례,일반상담,동일신고,해외발생사례,교직원,의료인,아동복지시설종사자,장애인복지시설종사자,보육교직원,유치원교직원_강사,학원강사,소방구급대원,성매매피해시설상담소종사자,한부모가족복지시설종사자,가족폭력상담소보호시설종사자,사회복지전담공무원,아이돌보미,취약계층아동통합서비스지원인력,아동보호전문기관상담원,가정위탁지원센터종사자,아동복지전담공무원,건강가정지원센터종사자,다문화가족지원센터종사자,사회복지시설종사자,성폭력피해자보호시설종사자,응급구조사,의료기사,청소년시설_단체종사자,청소년보호센터_재활센터종사자,정신보건센터종사자,아동본인,부모,형제_자매,친인척,이웃_친구,경찰,종교인,사회복지관련종사자,낯선사람,익명,아동보호전문기관장과 종사자,의료사회복지사,법원
2014,전북,279,1011,133,11,0,158,10,39,1,24,7,4,1,0,0,16,47,0,13,0,0,7,4,6,4,0,0,0,7,6,0,24,152,5,54,80,239,5,337,19,8,0,0,13
2014,전남,114,736,75,3,0,97,5,23,1,9,0,0,0,0,0,11,72,0,4,0,5,0,2,1,0,1,0,0,26,0,1,23,104,8,46,82,120,0,191,7,0,0,0,11
2014,경북,164,776,214,5,0,136,2,31,0,18,1,0,3,0,0,8,30,0,1,0,0,1,2,4,8,0,0,0,9,1,1,45,91,8,25,46,128,0,303,9,1,0,0,28
2014,경남,167,822,21,2,0,87,5,14,0,18,0,0,3,1,0,45,63,0,1,0,0,3,0,1,3,7,0,0,15,0,1,22,136,4,35,48,117,0,341,7,0,0,0,12
2014,제주,76,474,75,0,0,31,3,10,0,14,4,0,0,0,0,2,54,0,0,0,8,1,0,0,8,1,0,0,2,0,0,14,92,2,13,38,53,0,187,7,3,0,0,3
2015,중앙,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,서울,270,1683,361,8,3,248,23,25,6,43,7,0,0,0,2,14,49,0,24,0,0,1,0,4,30,4,0,0,13,3,8,198,398,20,40,136,59,4,450,28,20,0,0,96
2015,부산,60,704,134,2,0,144,5,13,6,9,6,1,2,0,0,12,37,0,20,0,1,4,3,0,17,0,0,0,10,4,0,74,145,4,17,36,14,1,97,15,19,0,0,48
2015,대구,75,447,114,3,0,83,12,6,2,15,4,0,0,2,1,5,18,0,4,0,0,0,1,0,10,3,0,0,2,1,1,47,110,11,15,25,24,1,86,20,0,0,0,13
2015,인천,95,638,186,4,0,122,12,7,1,52,3,1,1,0,0,4,30,2,7,0,7,14,2,0,2,2,0,0,1,0,2,30,128,6,21,67,45,0,114,17,6,0,0,27
2015,광주,54,297,32,1,0,45,7,10,0,3,2,0,0,0,0,1,13,0,0,0,0,1,0,1,0,0,0,0,1,0,3,37,76,14,10,25,16,0,57,11,9,0,0,9
2015,대전,27,374,108,1,2,67,2,6,0,12,1,0,1,1,0,6,4,0,2,0,0,0,0,0,1,1,0,0,4,0,2,39,89,5,10,25,7,1,86,7,9,0,0,13
2015,울산,93,433,141,4,0,84,6,2,3,12,6,1,1,2,1,7,12,0,2,0,2,1,0,0,2,2,0,0,2,5,0,51,102,6,19,31,44,0,74,14,1,0,0,31
2015,경기,616,3601,509,40,1,490,28,47,8,59,17,4,9,2,1,56,112,0,57,0,10,17,5,4,62,14,0,0,40,6,14,506,891,63,122,340,243,12,719,100,34,0,0,125
2015,강원,100,704,71,2,0,130,4,17,1,7,6,6,1,0,0,15,16,0,11,0,0,0,0,2,14,2,0,0,6,0,5,75,109,12,24,37,41,2,189,9,6,0,0,57
2015,충북,93,724,126,2,0,87,10,2,7,12,0,0,1,0,0,13,37,1,31,0,3,4,0,2,4,1,0,0,6,1,4,39,123,14,18,55,61,1,247,13,0,0,0,20
