"학제별","설립별","대학명","지역별","입학정원 합(명)","평균입학금(원)","평균등록금(원)"
"대학","사립","서울신학대학교","경기","1918","159000","6892511"
"대학","사립","서울여자대학교","서울","6461","176000","7534577"
"대학","사립","서울장신대학교","경기","443","170000","7541016"
"대학","사립","서울한영대학교","서울","720","0","6979700"
"대학","사립","서원대학교","충북","6488","0","6948288"
"대학","사립","선문대학교","충남","8242","0","7602687"
"대학","사립","성결대학교","경기","4912","170000","7208829"
"대학","사립","성공회대학교","서울","2008","167200","7047625"
"대학","사립","성균관대학교","서울","13917","188000","8381038"
"대학","사립","성신여자대학교","서울","8624","186000","7853794"
"대학","사립","세명대학교","충북","7580","0","6900047"
"대학","사립","세종대학교","서울","9499","198000","7891281"
"대학","사립","세한대학교","전남","3462","0","6815360"
"대학","사립","송원대학교","광주","2930","0","6538242"
"대학","사립","수원가톨릭대학교","경기","360","0","5097000"
"대학","사립","수원대학교","경기","8652","0","7595302"
"대학","사립","숙명여자대학교","서울","8720","178000","8075638"
"대학","사립","순복음총회신학교","충북","289","500000","5682734"
"대학","사립","순천향대학교","충남","9634","164000","7830448"
"대학","사립","숭실대학교","서울","10750","180000","7928397"
"대학","사립","신경대학교","경기","984","170000","6970514"
"대학","사립","신라대학교","부산","8330","0","6749190"
"대학","사립","신한대학교","경기","5764","193600","8714105"
"대학","사립","아신대학교","경기","692","0","6569873"
"대학","사립","아주대학교","경기","7656","180000","8262018"
"대학","사립","안양대학교","경기","4579","175000","7613447"
"대학","사립","연세대학교","서울","19932","195000","8949735"
"대학","사립","영남대학교","경북","18641","0","7458296"
"대학","사립","영남신학대학교","경북","460","0","6166000"
"대학","사립","영산대학교","경남","5906","0","6562694"
"대학","사립","영산선학대학교","전남","200","0","2000000"
"대학","사립","예수대학교","전북","487","0","6816094"
"대학","사립","예원예술대학교","전북","1137","0","8234556"
"대학","사립","용인대학교","경기","5330","153000","7684117"
"대학","사립","우석대학교","전북","7060","0","6938040"
"대학","사립","우송대학교","대전","8016","0","7214418"
"대학","사립","울산대학교","울산","11114","0","7336868"
"대학","사립","원광대학교","전북","14460","0","7493094"
