공간정보관리번호,X좌표최소값,Y좌표최소값,X좌표최대값,Y좌표최대값,시설코드,년도,시설유형,쉼터명칭,상세주소,면적,이용가능인원,난방기보유(열풍기),난방기보유(히터),난방기보유(난로),난방기보유(라디에이터),점검사항(냉방기기구비),점검사항(휴식공간),점검사항(야간개방),점검사항(적정온도),점검사항(전기료지원),점검사항(간판부착),점검사항(홍보물비치),점검사항(숙박가능),점검사항(휴일개방),사용여부,한파쉼터운영시작일,한파쉼터운영종료일,한파쉼터평일시작시간,한파쉼터평일종료시간,한파쉼터주말시작시간,한파쉼터주말종료시간
5797,20294001,56360110,20294001,56360110,11320131,2023,5,방아골종합사회복지관,서울특별시 도봉구  시루봉로17길  42   (방학동),3217,200,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5798,20350365,56358059,20350365,56358059,11320132,2023,1,청학 경로당,서울특별시 도봉구  도당로13라길  104-4  (방학동),175,60,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5799,20294694,56315414,20294694,56315414,11320133,2023,1,신우 경로당,서울특별시 도봉구  도당로13다길  39,185,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5800,20420305,56313573,20420305,56313573,11320124,2023,1,대상타운현대A 2차경로당,"서울특별시 도봉구  마들로  616   (방학동, 대상타운현대아파트)",87,50,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5801,20342649,56267810,20342649,56267810,11320128,2023,1,방학동 동부센트레빌A 경로당,서울특별시 도봉구 방학로 120,43.5,15,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,N,20211115,20220315,900,1800,,
5802,20404437,56311321,20404437,56311321,11320126,2023,1,금광A 경로당,"서울특별시 도봉구  도봉로150바길  26   (방학동, 금광포란재아파트)",50,40,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5803,20290424,56374105,20290424,56374105,11320134,2023,5,방학동 노인복지센터,서울특별시 도봉구  시루봉로15라길  59-9  (방학동),688,100,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5804,20283544,56360806,20283544,56360806,11320135,2023,1,방학2동 경로당,서울특별시 도봉구  시루봉로17길  64   (방학동),188,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5805,20315720,56347791,20315720,56347791,11320136,2023,3,방학2동 주민센터,서울특별시 도봉구  시루봉로  226   (방학동),1378,150,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5806,20316468,56333153,20316468,56333153,11320137,2023,1,송학 경로당,서울특별시 도봉구  도당로13라길  14-3  (방학동),142,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5807,20318389,56304316,20318389,56304316,11320138,2023,1,성삼경로당,서울특별시 도봉구 도당로15길 36,36,9,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5808,20240633,56304288,20240633,56304288,11320145,2023,1,극동A 경로당,"서울특별시 도봉구  시루봉로11길  25-8  (방학동, 극동아파트)",95.9,24,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5809,20253546,56247537,20253546,56247537,11320139,2023,3,방학3동 주민센터,서울특별시 도봉구  시루봉로  94   (방학동),1572.63,150,0,0,0,0,N,Y,N,Y,N,Y,Y,N,N,Y,20221201,20230315,900,1800,,
5810,20276058,56301651,20276058,56301651,11320148,2023,1,동양크레오A 경로당,"서울특별시 도봉구  시루봉로  166   (방학동, 동양크레오아파트)",97,24,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5811,20245431,56249873,20245431,56249873,11320140,2023,1,방학3동 경로당,서울특별시 도봉구 시루봉로 128,177,46,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5812,20266313,56288592,20266313,56288592,11320146,2023,1,신동아4차A 경로당,"서울특별시 도봉구  방학로  200   (방학동, 신동아아파트114,115,116,상가동)",44,11,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5813,20304303,56273488,20304303,56273488,11320144,2023,1,삼익세라믹 경로당,서울특별시 도봉구  도당로  41   (방학동),66,17,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5814,20241502,56258632,20241502,56258632,11320147,2023,1,신동아1차A 제2경로당,서울특별시 도봉구  시루봉로  105-1  (방학동),121,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5815,20219610,56231570,20219610,56231570,11320149,2023,1,우성A 경로당,"서울특별시 도봉구  해등로  286-5  (방학동, 우성아파트)",59,15,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5816,20196255,56229049,20196255,56229049,11320141,2023,1,원당 경로당,서울특별시 도봉구 해등로32가길 16,199.6,50,0,0,0,0,N,Y,Y,Y,Y,Y,Y,N,Y,Y,20221201,20230315,1300,1700,,
5817,20211554,56188766,20211554,56188766,11320142,2023,1,세심천 경로당,서울특별시 도봉구 시루봉로 65-59,54,14,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,Y,20221201,20230315,1300,1700,,
5818,20252548,56267152,20252548,56267152,11320143,2023,1,신동아1차A 제1경로당,서울특별시 도봉구  방학로  203   (방학동),121,30,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5819,20218557,56241273,20218557,56241273,11320150,2023,1,신동아2차A 경로당,"서울특별시 도봉구  방학로15길  40   (방학동, 신동아아파트)",99.2,25,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5820,20207197,56219863,20207197,56219863,11320151,2023,1,우성2차A 경로당,서울특별시 도봉구  해등로  305   (방학동),37,9,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5821,20232264,56240749,20232264,56240749,11320152,2023,1,벽산2차A 경로당,서울특별시 도봉구  시루봉로5길  38   (방학동),82,21,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5822,20233620,56194559,20233620,56194559,11320155,2023,1,청구아파트 경로당,서울특별시 도봉구 시루봉로 71,99,25,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5823,20512076,55919301,20512076,55919301,11350030,2023,1,인덕마을 경로당,서울특별시 노원구 초안산로2길 94-14,49,27,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5824,20294229,56267316,20294229,56267316,11320153,2023,1,벽산1차A 경로당,"서울특별시 도봉구  방학로11길  36   (방학동, 벽산아파트)",63,16,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5825,20544000,55789320,20544000,55789320,11350006,2023,1,장은하이빌아파트 경로당,"서울특별시 노원구 월계동 석계로13길  6-9  (월계동, 장은하이빌아파트)",36,26,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5826,20281930,56240091,20281930,56240091,11320156,2023,1,한화아파트 경로당,서울특별시 도봉구 방학로11길 10,118,29,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5827,20504912,55796994,20504912,55796994,11350265,2023,1,연촌경로당,서울특별시 노원구 광운로15길 35-2,52,27,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5828,20521711,55840793,20521711,55840793,11350011,2023,1,광운경로당,서울특별시 노원구 광운로19가길 53,56,23,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5829,20209458,56255832,20209458,56255832,11320154,2023,1,신동아3차A 경로당,서울특별시 도봉구  방학로15길  26   (방학동),83.5,21,0,0,0,0,N,Y,N,Y,Y,Y,Y,N,N,N,20211115,20220315,900,1800,,
5830,20464666,55988616,20464666,55988616,11350015,2023,1,청백1단지경로당,"서울특별시 노원구 월계동 초안산로  89   (월계동, 청백아파트)",165,56,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5831,20470680,55863400,20470680,55863400,11350022,2023,1,월계종합복지관경로당,"서울특별시 노원구 월계동 초안산로1길  15   (월계동, 월계1단지주공영구임대(아))",323,49,0,0,0,0,Y,Y,N,Y,Y,Y,N,N,Y,Y,20221115,20230315,900,1800,,
5832,20534112,55790212,20534112,55790212,11350007,2023,1,세양청마루아파트경로당,서울특별시 노원구 석계로13길 35,72,31,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5833,20454645,55951755,20454645,55951755,11350029,2023,3,월계2동주민센터,서울특별시 노원구 월계동 초안산로5길  28   (월계동),0,20,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5834,20561505,55812954,20561505,55812954,11350010,2023,3,월계1동주민센터,서울특별시 노원구 월계동 석계로  59   (월계동),0,20,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5835,20544139,55945346,20544139,55945346,11350038,2023,1,사슴2단지경로당,"서울특별시 노원구 월계동 월계로55길  16   (월계동, 사슴아파트)",149,60,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5836,20601223,55763642,20601223,55763642,11350041,2023,1,월계우남아파트경로당,"서울특별시 노원구 월계동 화랑로  355   (월계동, 우남아파트)",70,20,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5837,20533085,55915591,20533085,55915591,11350031,2023,1,사슴1단지경로당,"서울특별시 노원구 월계동 월계로  372   (월계동, 사슴아파트)",138,78,0,0,0,0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,20221115,20230315,900,1800,,
5838,20686975,55823419,20686975,55823419,11350054,2023,1,공릉1동현대아파트경로당,서울특별시 노원구 동일로176길 39-12,48,27,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5839,20463880,55811240,20463880,55811240,11350043,2023,1,벼루마을경로당,서울특별시 노원구 월계로44길 62,125,25,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5840,20514920,55755560,20514920,55755560,11350046,2023,1,선곡경로당,서울특별시 노원구 광운로2길 15-6,23,27,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
5841,20568400,55745080,20568400,55745080,11350044,2023,1,월계1동경로당,서울특별시 노원구 석계로8가길 2,497,40,0,0,0,0,Y,N,N,Y,Y,Y,N,N,N,Y,20221115,20230315,900,1800,,
