UNDP_국가명,WB_국가명,ISO3_국가코드,DAC_국가코드,WB_지역,KOICA_국가명_국문,KOICA_지역명_국문,KOICA_지역명_영문,KOICA_지역명_부서,국가협력전략 대상국가,KOICA 사무소 주재 여부,겸임국 관할 사무소명,OECD_국가명,OECD소득 기준,인구수_기준연도,인구수,GDP_기준연도,1인당 국내총생산,국민총생산 기준연도,1인당 국민총생산,빈곤율 기준연도,빈곤율,지니계수 기준연도,지니계수,문해율 기준연도,문해율,중등학교 등록율(여학생) 기준연도,중등학교 등록율(여학생),중등학교 등록률(남학생) 기준연도,중등학교 등록율(남학생),중등학교 등록율 젠더 패리티 인덱스 기준연도,중등학교 등록율 젠더 패리티 인덱스,세금 기준연도,세금,ODA 순 수원액 기준연도,ODA 순 수원액,기업여건 기준연도,기업여건,해외직접투자 기준연도,해외직접투자,100명당 이동통신 사용률 기준연도,100명당 이동통신 사용률,1인당 전기 소비량 기준연도,1인당 전기 소비량,인터넷 사용률 기준연도,인터넷 사용률,취약국가 지수 기준연도,취약국가 지수,취약국가 순위,부패인식지수 기준연도,부패인식점수,부패인식순위,전자정부 지수 기준연도,전자정부 지수 순위,전자정부지수,인간개발지수 기준연도,인간개발지수순위,인간개발지수,젠더개발지수 기준연도,젠더개발지수,젠더 불평등 지수 기준연도,젠더 불평등 지수,여성국회의원 비율 기준연도,여성국회의원 비율,여성실업률 기준연도,여성실업률,ODA 규모 기준연도,수원국 ODA 규모,양자 지원 규모,GNI 대비 ODA 비율,한국 ODA 규모 기준연도,한국 ODA 규모,KOICA 지원 규모_공공행정,KOICA 지원 규모_교육,KOICA 지원 규모_기술환경에너지,KOICA 지원 규모_기타,KOICA 지원 규모_긴급구호,KOICA 지원 규모_농림수산,KOICA 지원 규모_보건,KOICA 지원 규모_전체
Mauritania,Mauritania,MRT,256,Sub-Saharan Africa,모리타니,아프리카,Africa,중동중앙아,no,no,모로코 사무소 ,Mauritania,LDC,2020,4649660 ,2020,1672.924,2020,1640,2014,6,2014,32.6,2017,53.49759,2019,40.44672,2019,38.39943,2019,1.05332,,,2019,5.492494,2019,152,2019,-884000000 ,2019,104.0901,,,2017,20.80096,2020,88.74247,33,2019,28,137,2020,176,0.282,2019,157,0.546,2019,0.864,2019,0.634,2020,20.26144,2019,11.52,2019,-327,27,5,2019,0,1164939,12475,46285,21744,99518,140302,2227918,3713182
Mauritius,Mauritius,MUS,257,Sub-Saharan Africa,모리셔스,아프리카,Africa,동아프리카,no,no,케냐 사무소 ,Mauritius,UMIC,2020,1265740 ,2020,8622.676,2020,10230,2017,0.2,2017,36.8,2018,91.32539,2019,98.28924,2019,95.99769,2019,1.02387,2019,19.9463,2019,0.1404857,2019,13,2019,472000000 ,2019,147.0148,2014,2182.509,2019,63.9999,2020,37.18472,153,2019,52,56,2020,63,0.7196,2019,66,0.804,2019,0.976,2019,0.347,2020,20,2019,9.42,2019,5651,65,0,2019,0,365631,8252,100794,6212,20000,230479,61576,792944
Mozambique,Mozambique,MOZ,259,Sub-Saharan Africa,모잠비크,아프리카,Africa,동아프리카,no,yes,모잠비크 사무소,Mozambique,LDC,2020,31300000 ,2020,448.6075,2020,460,2014,63.7,2014,54,2017,60.65543,2017,33.44512,2017,37.39254,2017,0.89443,2019,27.05966,2019,12.72237,2019,138,2019,2180000000 ,2019,48.65095,2014,478.9206,2017,20.774,2020,91.69371,27,2019,26,146,2020,163,0.3564,2019,181,0.456,2019,0.912,2019,0.523,2020,42.4,2019,3.5,2019,2227,56,13,2019,24,7234370,16200000,6170756,443830,209519,2435885,1368359,34000000
Niger,Niger,NER,260,Sub-Saharan Africa,니제르,아프리카,Africa,서아프리카,no,no,코트디부아르 사무소,Niger,LDC,2020,24200000 ,2020,565.0613,2020,540,2014,45.4,2014,34.3,2018,35.05,2017,20.70213,2017,27.68139,2017,0.74787,1980,11.76453,2019,11.05663,2019,132,2019,717000000 ,2017,40.6385,2014,51.19494,2018,5.250488,2020,95.31488,19,2019,32,120,2020,188,0.1661,2019,189,0.394,2019,0.724,2019,0.642,2020,16.95906,2019,0.37,2019,1498,37,12,2019,1,1564810,144359,227677,,95069,2690303,4545816,9268033
Nigeria,Nigeria,NGA,261,Sub-Saharan Africa,나이지리아,아프리카,Africa,서아프리카,no,yes,나이지리아 사무소,Nigeria,LMIC,2020,206000000 ,2020,2097.092,2020,2000,2018,39.1,2018,35.1,2018,62.01601,2016,39.82974,2016,44.09977,2016,0.90317,,,2019,0.8114718,2019,131,2019,2310000000 ,2019,91.85358,2014,144.5254,2017,7.469439,2020,97.26751,14,2019,26,146,2020,141,0.4406,2019,161,0.539,2019,0.881,,,2020,7.222222,2019,7.45,2019,6608,37,1,2019,9,14000000,23000000,3538279,510624,158730,6063964,7052742,54400000
Zimbabwe,Zimbabwe,ZWE,265,Sub-Saharan Africa,짐바브웨,아프리카,Africa,동아프리카,no,no,탄자니아 사무소,Zimbabwe,LDC,2020,14900000 ,2020,1128.211,2020,1090,2019,39.5,2019,50.3,2014,88.69342,2013,51.34574,2013,53.49126,2013,0.95989,2018,12.62204,2019,5.860382,2019,140,2019,280000000 ,2019,90.10229,2014,609.1247,2017,27.05549,2020,99.22086,10,2019,24,158,2020,126,0.5019,2019,150,0.571,2019,0.931,2019,0.527,2020,31.85185,2019,5.55,2019,913,54,5,2019,2,9078030,1208815,1682434,535847,132598,5129348,2289517,20100000
Rwanda,Rwanda,RWA,266,Sub-Saharan Africa,르완다,아프리카,Africa,동아프리카,yes,yes,르완다 사무소,Rwanda,LDC,2020,13000000 ,2020,797.8556,2020,780,2016,56.5,2016,43.7,2018,73.21559,2019,47.04848,2019,41.56395,2019,1.13195,2019,14.59419,2019,11.90148,2019,38,2019,384000000 ,2019,76.49154,,,2017,21.76763,2020,86.02952,35,2019,53,51,2020,130,0.4789,2019,160,0.543,2019,0.945,2019,0.402,2020,61.25,2019,1.02,2019,1332,47,12,2019,24,31000000,39900000,12300000,1981107,162176,41900000,12200000,139000000
Sao Tome and Principe,So Tom and Principe,STP,268,Sub-Saharan Africa,상투메프린시페,아프리카,Africa,서아프리카,no,no,카메룬 사무소,Sao Tome and Principe,LDC,2020,219161 ,2020,2157.84,2020,2070,2017,35.6,2017,56.3,2018,92.81664,2017,95.85861,2017,82.94118,2017,1.15574,,,2019,12.06081,2019,170,2019,24200000 ,2019,77.07806,,,2017,29.93123,2020,70.2819,83,2019,46,64,2020,155,0.4074,2019,135,0.625,2019,0.906,2019,0.537,2020,23.63636,2019,20.51,2019,51,32,12,2019,0,328413,,8080,,,21038,55257,412787
Senegal,Senegal,SEN,269,Sub-Saharan Africa,세네갈,아프리카,Africa,서아프리카,yes,yes,세네갈 사무소,Senegal,LDC,2020,16700000 ,2020,1487.757,2020,1430,2011,38.5,2011,40.3,2017,51.90042,2019,49.12137,2019,43.40805,2019,1.13162,2018,16.37825,2019,6.374514,2019,123,2019,983000000 ,2019,109.7214,2014,229.3516,2017,29.64312,2020,74.56465,71,2019,45,66,2020,150,0.421,2019,168,0.512,2019,0.87,2019,0.533,2020,43.0303,2019,7.02,2019,2000,46,6,2019,31,5092620,32300000,6216334,1455792,504605,23400000,19700000,88700000
Eritrea,Eritrea,ERI,271,Sub-Saharan Africa,에리트레아,아프리카,Africa,동아프리카,no,no,에티오피아 사무소,Eritrea,LDC,2011,3213969 ,2011,642.5083,2011,600,,,,,2018,76.57052,2018,45.39512,2018,49.91707,2018,0.90941,,,2011,6.535045,2019,189,2019,67100000 ,2017,20.36396,2014,96.63458,2017,1.308907,2020,95.84423,18,2019,23,160,2020,192,0.1292,2019,180,0.459,,,,,2019,22,2019,6.46,2019,276,81,,,,162273,24049,12905,29798,145162,178572,50402,603161
