분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,경도(X좌표),위도(Y좌표),유무료,문화포털상세URL
클래식,종로구,제15회 아카데미 열정과 나눔 정기연주회,2022-09-27~2022-09-27,세종체임버홀,세종문화회관,초등학생 이상,"전석 30,000원 ",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33495&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bc6f88db51d143b192c8f35cee487770&thumb=Y,2022.9.27,기관,2022.9.27 0:00,2022.9.27 0:00,,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139458&menuNo=200008
축제-기타,마포구,＂제7회 M 클래식 축제＂브런치콘서트 [서희태의 렉처콘서트-비발디사계],2022-09-27~2022-09-27,마포아트센터 아트홀맥,마포문화재단,8세이상관람가능,"전석 10,000원", 지휘？해설 서희태 / 바이올리니스트 김혜정 / 소프라노 장재영 / 뉴서울필하모닉 오케스트라,클래식을 맛있게 즐기는 M클래식 축제의 렉처 콘서트 1 <비발디 사계>,"다른 음악적 해석과 재치 있는 입담을 자랑하는   지휘자 서희태의 렉처콘서트 <비발디 사계>  봄, 여름, 가을, 겨울 계절의 특징을 음악적으로 묘사하는 가장 사랑받는 바로크 음악 중 하나인 비발디의 <사계>를 재조명하고, 그 안의 숨겨진 이야기들을  유머러스하게 풀어낼 예정이다.   수준 높은 연주로 클래식 애호가들에게 호평 받고 있는 뉴서울 필하모닉 오케스트라와  바이올리니스트 김혜정과 소프라노 장재영이 함께하여 아름다운 선율을 선사한다. ",https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2066&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8a6e3b66d4f74e708681ff459a4b6322&thumb=Y,2022.8.4,기관,2022.9.27 0:00,2022.9.27 0:00,기타,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138863&menuNo=200010
교육/체험,양천구,제법 안온한 날들,2022-09-27~2022-09-27,개울건강도서관 2층 어울림실(비대면 ZOOM 병행),양천문화재단,성인 30명 / 비대면 성인 100명,,남궁인 작가,,,https://lib.yangcheon.or.kr/libgaeul/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c1842123cd604482995cfe91ae67ba6f&thumb=Y,2022.8.10,기관,2022.9.27 0:00,2022.9.27 0:00,기타,37.52597518,126.8566021,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=138937&menuNo=200011
기타,은평구,[구립증산정보도서관] 도서관이 들려주는 그림책 하반기 참여자 모집,2022-09-26~2022-12-19,지하 문화강좌실,기타,6~7세 유아 10명 내외,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1528&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=74a8163f10e843a095ee16e5fdb4e731&thumb=Y,2022.9.13,기관,2022.9.26 0:00,2022.12.19 0:00,,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139277&menuNo=200013
교육/체험,종로구,[공연예술인을 위한 법률특강#실전편] '..중도하차를통보받았는데요.' '..공동창작괜찮을까요?',2022-09-26~2022-09-26,서울특별시 종로구 동숭길 122,서울문화재단,홈페이지 참고,,,,,https://www.sfac.or.kr/opensquare/notice/notice_list.do?cbIdx=955&bcIdx=133364&type=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c64bf6261be44e59851ce40d302523a1&thumb=Y,2022.9.19,기관,2022.9.26 0:00,2022.9.26 0:00,,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139377&menuNo=200011
교육/체험,은평구,"[릴레이 오픈 스튜디오, 여섯 번째 | 또다른 아름다움]",2022-09-26~2022-09-26,서울특별시 은평구 증산종합시장 지하 1층,은평문화재단,"예술가와 일상을 나누고 싶은 사람, 예술가의 시선과 예술언어가 궁금한 동네 주민과 예술가",,,,,https://www.efac.or.kr/sub06/sub01.php?type=view&uid=2972,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ff4b19cede3c454b8c7955652d740e2a&thumb=Y,2022.9.19,기관,2022.9.26 0:00,2022.9.26 0:00,,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139380&menuNo=200011
교육/체험,성동구,변기 속 사이펀의 원리,2022-09-25~2022-12-18,서울하수도과학관 교육실,서울하수도과학관,초등학생,,,,,https://sssmuseum.org/main/?mc_code=1210,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f492433693c5491889828cc64e99d6d8&thumb=Y,2022.9.14,기관,2022.9.25 0:00,2022.12.18 0:00,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139303&menuNo=200011
축제-문화/예술,성북구,제14회 성북세계음식축제 [누리마실] : 우리를 구할 가장 가벼운 맛,2022-09-25~2022-09-25,서울시 성북구 성북로,성북문화재단,모든 시민,,,,,https://blog.naver.com/nurimasilfriends,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=270a9893586443b69f28c35fcabb9bdc&thumb=Y,2022.9.2,기관,2022.9.25 0:00,2022.9.25 0:00,기타,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139191&menuNo=200010
축제-문화/예술,성북구,[제14회 성북세계음식축제 누리마실] 부스 참여자 모집,2022-09-25~2022-09-25,성북구 성북로 일대 (성북1동 치안센터 건너편~홍익중고 앞 버스정류장),성북문화재단,누구나,,,,,https://blog.naver.com/sbculture1/222850755057,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=880b63ded8a546259a0c50863bbe2db9&thumb=Y,2022.8.17,기관,2022.9.25 0:00,2022.9.25 0:00,문화가 있는 날,37.59915583,127.0147745,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139029&menuNo=200010
콘서트,용산구,문화가 흐르는 예술마당 9월 다섯번째 공연,2022-09-25~2022-09-25,노들섬 잔디마당,노들섬,누구나,,,,,https://cultureseoul.co.kr/2022/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f624de479b584f64a201df8f52afd5ff&thumb=Y,2022.9.20,기관,2022.9.25 0:00,2022.9.25 0:00,,37.51766383,126.9580365,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=139408&menuNo=200008
