구분 ,국가명 ,진출지역,회사명(국문),회사명(영문),주소,홈페이지,진출년도,진출형태,투자형태,외국사 합작지분,업종1,업종2,취급분야,본사파견, 현지채용 ,내수/수출,모기업명,관할무역관
아시아 ,뉴질랜드,웰링턴(Wellington),현대로템,Hyundai Rotem Company,"Kiwi-Rail EMU Depot, Thorndon Quay, Wellington, New Zealand",-,2010,지점,단독,-,서비스업,사업 시설관리 및 사업지원,철도차량 유지보수,4, - ,100% 주재국 내수시장 공급,현대로템,오클랜드무역관
아시아 ,뉴질랜드,크라이스트처치(Christchurch),현대제철,Hyundai Steel,"Level 9, Craigs Investment Partners House, 36 Customhouse Quay, Wellington, New Zealand",-,2013,생산법인,단독,-,광업·자원개발,-,원유 개발,-, 1 ,100% 제3국 수출,현대제철㈜,오클랜드무역관
아시아 ,뉴질랜드,티마루(Timaru),대한전선뉴질랜드,Taihan New Zealand Ltd.,"Suite 704, 815 Pacific Highway, Chatswood, NSW2067, AuStralia 
",www.taihan.com,2009,서비스법인,단독,-,건설·공사업,-,전력케이블 시공,-, 1 ,100% 주재국 내수시장 공급,대한전선㈜,오클랜드무역관
아시아 ,뉴질랜드,티마루(Timaru),하나투어뉴질랜드,Hana Tour New Zealand Ltd.,"LV1, 443 Lake Road, Takapuna, Auckland, New Zealand",www.hanatour.co.nz,2000,지점,합작,-,서비스업,예술·스포츠 및 여가 관련,여행업,-, 7 ,100% 주재국 내수시장 공급,하나투어㈜,오클랜드무역관
아시아 ,라오스,비엔티안(Vientiane),KHS드래곤마이닝,"KHS Dragon Mining Co., Ltd.","Thongkang Village, Sisattanak District, Vientiane Capital, Lao PDR",www.hdconst.com,2007,생산법인,-,-,광업·자원개발,-,동광 및 철광 등 개발,-, - ,-,-,비엔티안무역관
아시아 ,라오스,비엔티안(Vientiane),비엔케이캐피탈리싱유한회사,"BNK Capital Lao Leasing Co., Ltd.","2nd Floor Premier Building, Setthathilath Road Phiavat Village, Sisattanak DiStrict, Vientiane Capital, Lao PDR",www.bnkcapital.co.kr,2015,서비스법인,합작,-,금융·보험업,-,-,3, 19 ,-,BNK캐피탈㈜,비엔티안무역관
아시아 ,라오스,비엔티안(Vientiane),CJ대한통운,CJ Korea Express (Thailand) Representative of Laos Office,"406 4th Floor, Kolao-tower II, 23 Singha Road, Nongbone Village, Vientiane, Lao PDR",www.cjkoreaexpress.co.kr,2012,서비스법인,단독,-,서비스업,기타 서비스업,해외 수출입 운송업,-, 2 ,-,CJ대한통운㈜,비엔티안무역관
아시아 ,라오스,비엔티안(Vientiane),부영라오,"Booyoung Lao Co., Ltd.","SEA Games Golf Club, Saythany DiStrict, Vientiane, Lao PDR",www.seagamesgc.com,2007,서비스법인,단독,-,서비스업,예술·스포츠 및 여가 관련,골프장 서비스,2, 102 ,-,부영㈜,비엔티안무역관
아시아 ,라오스,비엔티안(Vientiane),부영라오은행,"Booyoung Lao Bank Co., Ltd.","Phonxay village, Xaysettha DiStrict, Vientiane, Lao PDR",www.booyoungbank.com,2009,서비스법인,단독,-,금융·보험업,-,은행,2, 15 ,-,부영㈜,비엔티안무역관
아시아 ,라오스,비엔티안(Vientiane),삼성전자㈜라오스사무소,"Thai Samsung Electroincs Co., Ltd.","Aloumai Building 3rd Floor, 23 Singha Road, Nongbone Village, Xaysettha District, Vientiane Capital, Lao PDR",www.samsung.com,2013,서비스법인,단독,-,서비스업,사업 시설관리 및 사업지원,태국 판매 법인 대표사무소,-, - ,-,삼성전자㈜㈜,비엔티안무역관
아시아 ,라오스,비엔티안(Vientiane),젤라콘,"Jelacon Co., Ltd.","No.13 South Road. Km 31. Naphasouk Village. Saythany District. Vientiane, Lao PDR",www.jeilsanup.co.kr,2013,생산법인,합작,-,제조업,기타 제품 제조업,아스팔트 콘크리트 제품 생산,-, - ,-,제일산업개발㈜,비엔티안무역관
아시아 ,라오스,비엔티안(Vientiane),진에어항공,Jin Air,"P.O.BOX:9429, Wattay International Airport Room 103, Vientiane, Lao PDR",www.jinair.com,2013,서비스법인,단독,-,운수업,-,직항운항,2, 1 ,-,진에어㈜,비엔티안무역관
