시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,도로명주소코드,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
3246,1174000000,341,서울특별시,강동구,서울컨벤션고등학교,1.17401E+24,1174010200,1174056000,서울특별시 강동구 동남로 964(고덕동),14629,127.15821,37.560001,213978.6073,551175.3074
3247,1174000000,343,서울특별시,강동구,고덕중학교,1.17401E+24,1174010200,1174056000,서울특별시 강동구 동남로82길 94(고덕동),2048,127.161297,37.559984,214251.3758,551173.8332
3248,1174000000,311,서울특별시,강동구,명일초등학교,1.17401E+24,1174010700,1174057000,서울특별시 강동구 고덕로38길 8(암사동),1171,127.142029,37.553844,212549.9969,550489.612
3126,1144000000,129,서울특별시,마포구,서울중동초등학교,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵북로 152(성산동),782,126.911345,37.566644,192167.6228,551904.4408
3127,1144000000,203,서울특별시,마포구,성산종합사회복지관,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵로 215(성산동),50,126.900409,37.565043,191201.2648,551727.7595
3128,1144000000,204,서울특별시,마포구,성산종합사회복지관,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵로 215(성산동),60,126.900499,37.565043,191209.2162,551727.7511
3129,1144000000,205,서울특별시,마포구,마포구청,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵로 212(성산동),203,126.901769,37.566131,191321.5453,551848.3883
3130,1144000000,219,서울특별시,마포구,성산2동주민센터,1.14401E+24,1144012500,1144073000,서울특별시 마포구 월드컵북로30길 22(성산동),140,126.908946,37.568593,191955.8796,552121.0031
3131,1144000000,151,서울특별시,마포구,한국우진학교,1.14401E+24,1144012600,1144073000,서울특별시 마포구 월드컵북로38길 21(중동),553,126.90331,37.571583,191458.2972,552453.4002
3132,1144000000,232,서울특별시,마포구,가좌행복경로당,1.14401E+24,1144012600,1144073000,"서울특별시 마포구 성암로 28(성산동, 가좌행복주택)",139,126.912523,37.569515,192271.9911,552223.0109
3133,1147000000,338,서울특별시,양천구,강신초등학교 교사시설,1.14701E+24,1147010300,1147060000,서울특별시 양천구 월정로 280(신월동),120,126.829448,37.542539,184927.4404,549239.0554
3165,1171000000,371,서울특별시,송파구,송파여성문화회관,1.17101E+24,1171010400,1171058000,서울특별시 송파구 백제고분로42길 5(송파동),13405,127.109782,37.505901,209706.7358,545164.7178
3166,1171000000,366,서울특별시,송파구,서울중대초등학교,1.17101E+24,1171010400,1171059000,서울특별시 송파구 송파대로36길 8(송파동),8711,127.11371,37.500104,210054.8229,544521.7266
3167,1171000000,342,서울특별시,송파구,서울석촌초등학교,1.17101E+24,1171010500,1171060000,서울특별시 송파구 가락로11길 26(석촌동),8292,127.104776,37.502551,209264.5496,544792.4162
3168,1171000000,343,서울특별시,송파구,서울삼전초등학교,1.17101E+24,1171010600,1171061000,서울특별시 송파구 백제고분로28길 19(삼전동),9927,127.092589,37.501442,208187.0944,544668.1539
3169,1171000000,344,서울특별시,송파구,서울신가초등학교,1.17101E+24,1171010700,1171062000,서울특별시 송파구 송이로 75(가락동),6233,127.121311,37.500721,210726.8347,544591.0492
3170,1171000000,491,서울특별시,송파구,서울가락초등학교,1.17101E+24,1171010700,1171063100,서울특별시 송파구 송파대로37길 45(가락동),7106,127.107652,37.500183,209519.1223,544529.8613
3171,1171000000,484,서울특별시,송파구,송파중학교,1.17101E+24,1171010700,1171063200,서울특별시 송파구 동남로 203(가락동),16306,127.129326,37.496277,211436.3049,544098.7675
3172,1171000000,347,서울특별시,송파구,서울문정초등학교,1.17101E+24,1171010800,1171064100,서울특별시 송파구 문정로5길 20(문정동),7825,127.12872,37.488915,211383.8399,543281.5813
3173,1171000000,348,서울특별시,송파구,서울가원초등학교,1.17101E+24,1171010800,1171064200,서울특별시 송파구 중대로4길 8(문정동),7247,127.114122,37.488513,210092.8677,543235.3805
3174,1171000000,416,서울특별시,송파구,서울문덕초등학교,1.17101E+24,1171010800,1171064600,서울특별시 송파구 송이로34길 60(문정동),3456,127.127596,37.484993,211284.9762,542846.2409
3175,1171000000,372,서울특별시,송파구,문현중학교,1.17101E+24,1171010900,1171064600,서울특별시 송파구 충민로 99(장지동),3598,127.127675,37.480571,211292.6481,542355.4746
3176,1171000000,485,서울특별시,송파구,서울문현초등학교,1.17101E+24,1171010900,1171064600,서울특별시 송파구 충민로 137(장지동),5692,127.130087,37.482711,211505.6577,542593.2084
3177,1171000000,486,서울특별시,송파구,서울송례초등학교,1.17101E+24,1171010900,1171064700,서울특별시 송파구 위례순환로 439(장지동),6543,127.138444,37.477873,212245.5868,542057.3351
3178,1171000000,368,서울특별시,송파구,서울잠신초등학교,1.17101E+24,1171010100,1171067000,서울특별시 송파구 잠실로 32(잠실동),6960,127.08842,37.514341,207817.1192,546099.5145
3179,1168000000,15,서울특별시,강남구,도성초등학교,1.16801E+24,1168010100,1168065000,서울특별시 강남구 역삼로 313(역삼동),2225,127.049183,37.500908,204349.0159,544606.0259
3180,1168000000,530,서울특별시,강남구,역삼중학교,1.16801E+24,1168010100,1168065000,서울특별시 강남구 도곡로43길 10(역삼동),2424,127.048597,37.49595,204297.4453,544055.7231
3181,1168000000,16,서울특별시,강남구,언주초등학교,1.16801E+24,1168011800,1168065500,서울특별시 강남구 남부순환로363길 19(도곡동),20086,127.037033,37.486646,203275.2267,543022.6527
3182,1168000000,542,서울특별시,강남구,도곡1문화센터,1.16801E+24,1168011800,1168065500,서울특별시 강남구 도곡로18길 57(도곡동),183,127.038872,37.488371,203437.799,543214.115
3183,1168000000,532,서울특별시,강남구,대도초등학교,1.16801E+24,1168011800,1168065600,서울특별시 강남구 선릉로 209(도곡동),1861,127.052832,37.492723,204672.1165,543697.7712
2998,1138000000,394,서울특별시,은평구,서문교회,1.13801E+24,1138010700,1138060000,서울특별시 은평구 가좌로10길 10(응암동),198,126.916739,37.591613,192646.5933,554675.2672
2999,1141000000,31,서울특별시,서대문구,인왕중학교,1.14101E+24,1141011100,1141064000,서울특별시 서대문구 세검정로4길 69(홍제동),816,126.952043,37.59278,195764.5997,554802.6286
3000,1141000000,40,서울특별시,서대문구,홍은중학교,1.14101E+24,1141011100,1141064000,서울특별시 서대문구 세검정로 105(홍제동),586,126.949603,37.59762,195549.4307,555339.9663
3001,1141000000,43,서울특별시,서대문구,인왕초등학교,1.14101E+24,1141011100,1141064000,서울특별시 서대문구 세무서길 33-9 (홍제동),477,126.94521,37.590504,195161.0232,554550.3871
3002,1141000000,15,서울특별시,서대문구,홍제초등학교,1.14101E+24,1141011800,1141066000,서울특별시 서대문구 홍은중앙로 13(홍은동),2691,126.944641,37.593062,195110.9779,554834.2759
3003,1141000000,17,서울특별시,서대문구,홍연초등학교 체육관,1.14101E+24,1141011800,1141068500,서울특별시 서대문구 백련사길 55(홍은동),560,126.931055,37.581708,193910.1698,553574.9275
3004,1141000000,58,서울특별시,서대문구,서대문문화체육회관,1.14101E+24,1141011800,1141068500,서울특별시 서대문구 백련사길 39(홍은동),508,126.931731,37.58094,193969.813,553489.6657
3005,1141000000,57,서울특별시,서대문구,남가좌1동주민센터,1.14101E+24,1141012000,1141069000,서울특별시 서대문구 모래내로15길 37(남가좌동),100,126.919834,37.573246,192918.1905,552636.5292
3006,1141000000,36,서울특별시,서대문구,명지대방목학술정보관,1.14101E+24,1141012000,1141070000,서울특별시 서대문구 거북골로 34(남가좌동),4030,126.921374,37.580354,193054.9414,553425.2961
3007,1141000000,20,서울특별시,서대문구,북가좌초등학교,1.14101E+24,1141011900,1141071000,서울특별시 서대문구 거북골로19길 20(북가좌동),891,126.907642,37.577146,191841.5867,553070.413
3008,1141000000,41,서울특별시,서대문구,가재울중학교,1.14101E+24,1141011900,1141071000,서울특별시 서대문구 수색로 100-75 (북가좌동),601,126.909842,37.575387,192035.7598,552874.9821
3009,1141000000,42,서울특별시,서대문구,가재울고등학교,1.14101E+24,1141011900,1141071000,서울특별시 서대문구 수색로 100-35 (북가좌동),556,126.909506,37.574311,192005.9637,552755.5871
3010,1144000000,3,서울특별시,마포구,아현초등학교,1.14401E+24,1144010100,1144055500,서울특별시 마포구 굴레방로 6(아현동),1782,126.957095,37.556588,196208.9349,550785.5842
3011,1144000000,236,서울특별시,마포구,아현문화건강센터,1.14401E+24,1144010100,1144055500,서울특별시 마포구 마포대로11길 44-81 (아현동),179,126.952034,37.55175,195761.4989,550248.8545
3012,1141000000,22,서울특별시,서대문구,홍제3동주민센터,1.14101E+24,1141011100,1141064000,서울특별시 서대문구 세검정로4길 32(홍제동),100,126.949763,37.593763,195563.3172,554911.8437
3292,1174000000,320,서울특별시,강동구,서울제일교회,1.17401E+24,1174010800,1174066000,서울특별시 강동구 강동대로53길 53(성내동),331,127.132174,37.525277,211683.5728,547317.8116
3293,1174000000,339,서울특별시,강동구,강동성심병원,1.17401E+24,1174010500,1174068500,서울특별시 강동구 성안로 150(길동),15504,127.135233,37.536141,211952.2955,548523.8898
3294,1174000000,361,서울특별시,강동구,신명초등학교,1.17401E+24,1174010500,1174068500,서울특별시 강동구 명일로24길 33(길동),1006,127.149629,37.541477,213223.7007,549118.098
3295,1174000000,433,서울특별시,강동구,천동초등학교,1.17401E+24,1174010500,1174068500,서울특별시 강동구 성안로 200(길동),572,127.137699,37.540781,212169.4565,549039.1641
3296,1174000000,443,서울특별시,강동구,길동주민센터,1.17401E+24,1174010500,1174068500,서울특별시 강동구 천호대로 1183(길동),190,127.142646,37.534671,212607.6802,548361.6923
3297,1174000000,325,서울특별시,강동구,선린초등학교,1.17401E+24,1174010600,1174070000,서울특별시 강동구 진황도로61길 29(둔촌동),1650,127.145749,37.529262,212882.8707,547761.7646
3298,1171000000,487,서울특별시,송파구,서울잠일초등학교,1.17101E+24,1171010100,1171067000,서울특별시 송파구 올림픽로 95(잠실동),13722,127.081637,37.51465,207217.3657,546133.1744
3299,1171000000,379,서울특별시,송파구,서울송전초등학교,1.17101E+24,1171010100,1171068000,서울특별시 송파구 석촌호수로 159(잠실동),1639,127.094811,37.508447,208382.7374,545445.8445
3300,1171000000,374,서울특별시,송파구,영동일고등학교,1.17101E+24,1171010100,1171068000,서울특별시 송파구 석촌호수로 93(잠실동),5320,127.089516,37.509671,207914.4595,545581.301
3301,1171000000,329,서울특별시,송파구,서울잠실초등학교,1.17101E+24,1171010200,1171069000,서울특별시 송파구 올림픽로35길 20(신천동),2758,127.111446,37.520124,209851.9883,546743.4492
3302,1174000000,301,서울특별시,강동구,강일초등학교,1.17401E+24,1174011000,1174051500,서울특별시 강동구 아리수로98길 24(강일동),13645,127.16842,37.546242,214883.4337,549649.7188
3303,1174000000,332,서울특별시,강동구,강일동주민센터,1.17401E+24,1174011000,1174051500,서울특별시 강동구 아리수로93길 9-14 (강일동),645,127.178207,37.568905,215743.5234,552166.6645
3304,1174000000,363,서울특별시,강동구,강동중학교,1.17401E+24,1174011000,1174051500,서울특별시 강동구 풍산로 237(강일동),8896,127.177744,37.569966,215702.4273,552284.3525
3305,1174000000,368,서울특별시,강동구,강일고등학교,1.17401E+24,1174011000,1174051500,서울특별시 강동구 아리수로98길 40(강일동),11112,127.177464,37.564236,215678.8817,551648.2832
3306,1174000000,364,서울특별시,강동구,강명중학교,1.17401E+24,1174011000,1174051500,서울특별시 강동구 상일로12길 56(상일동),2670,127.174846,37.555556,215449.3838,550684.5622
3307,1174000000,357,서울특별시,강동구,강명초등학교,1.17401E+24,1174010300,1174051500,서울특별시 강동구 상일로 74-1 (상일동),3971,127.173533,37.554669,215333.5736,550585.8796
3308,1174000000,304,서울특별시,강동구,고명초등학교,1.17401E+24,1174010100,1174053000,서울특별시 강동구 고덕로46길 53(명일동),817,127.146865,37.55265,212977.4607,550357.7287
